C,gamma,cv_mean,cv_std,cv_min,cv_max
9.75,0.013,0.8435067883831622,0.0077731823232189,0.8298444667808911,0.8562153772649709
8.3,0.014,0.8435035189116067,0.008098621867192313,0.8282055367942667,0.8572533250138739
7.8,0.0145,0.8435025243974695,0.008394310944183981,0.8276873340655544,0.8578864888612565
9.25,0.013,0.8434998591352062,0.0078618547813731,0.829247628332805,0.8566820856176164
7.4,0.015,0.843497171806098,0.008332811662758224,0.8282770516870659,0.8573240239894143
7.4,0.0145,0.8434967571982681,0.008565678383491116,0.8271420917695065,0.8583785605849774
7.7,0.014,0.8434810451770883,0.008053532644327439,0.8281666976745863,0.856636159036642
8.0,0.0135,0.843477369078581,0.0082048465396996,0.8270494377398522,0.8566141677024294
7.8,0.01375,0.8434752232068556,0.008303326195957729,0.8270494377398522,0.8577503287489496
9.0,0.013,0.8434666257828969,0.007750657434113,0.8285880277518187,0.856162653973888
7.5,0.015,0.8434645375124692,0.0082900213968596,0.8285684581941192,0.8578454106885753
7.7,0.01475,0.8434626810072727,0.008068230501877657,0.829081326756348,0.8578454106885753
8.2,0.0145,0.8434574727734536,0.007903011938832253,0.8297285597130445,0.8567899999790833
7.6,0.015,0.8434573807741562,0.008401125714869841,0.8285684581941192,0.8573178146538161
8.25,0.0145,0.8434550484581871,0.0078991047689359,0.829215226581833,0.856740365715098
7.9,0.01375,0.843446870717115,0.008209034603809857,0.827041613019254,0.8566801662944058
8.1,0.01425,0.8434454161375537,0.007858465566344066,0.828764553127447,0.8562113049660145
8.2,0.0135,0.843442112241677,0.007958909286170712,0.8275565460779565,0.8561165926337093
8.0,0.01475,0.8434158470848199,0.007884555922051045,0.8297285597130445,0.8564938767983731
8.3,0.0145,0.8434118601114401,0.007868191939551274,0.829215226581833,0.856740365715098
8.4,0.01425,0.8434116815232975,0.007939433378544913,0.8297285597130445,0.856732619637012
8.1,0.0135,0.8434074642165876,0.007944756446973447,0.8275565460779565,0.8560509155536092
8.6,0.014,0.8433988795419193,0.008033186009362007,0.8287250483429236,0.856732619637012
9.0,0.0145,0.8433978039126383,0.0083555274813934,0.828391237434431,0.8559370881753845
